investment_id,user_id,property_id,investment_date,num_shares,price_per_share_aed,amount_aed,status
INV00001,U0007,P012,2023-07-07,50,500,25000,completed
INV00002,U0040,P012,2024-06-29,100,500,50000,completed
INV00003,U0052,P005,2023-12-17,100,500,50000,completed
INV00004,U0060,P006,2024-01-23,1,500,500,completed
INV00005,U0048,P011,2024-01-21,100,500,50000,completed
INV00006,U0007,P008,2017-12-28,2,500,1000,completed
INV00007,U0013,P013,2024-02-11,100,500,50000,completed
INV00008,U0056,P015,2024-01-29,5,500,2500,completed
INV00009,U0026,P008,2017-07-02,1,500,500,completed
INV00010,U0050,P011,2023-09-07,100,500,50000,completed
INV00011,U0044,P009,2023-09-09,50,500,25000,completed
INV00012,U0017,P018,2023-10-31,1,500,500,completed
INV00013,U0028,P006,2023-08-25,1,500,500,completed
INV00014,U0033,P012,2023-10-21,10,500,5000,completed
INV00015,U0003,P004,2023-05-09,20,500,10000,completed
INV00016,U0035,P014,2022-04-23,20,500,10000,refunded
INV00017,U0043,P007,2023-03-17,10,500,5000,completed
INV00018,U0047,P011,2023-10-13,50,500,25000,completed
INV00019,U0021,P010,2024-05-07,5,500,2500,completed
INV00020,U0027,P013,2024-04-17,20,500,10000,completed
INV00021,U0026,P013,2024-03-17,20,500,-1000,completed
INV00022,U0028,P018,2023-05-15,5,500,2500,completed
INV00023,U0014,P011,2024-03-16,10,500,5000,completed
INV00024,U0051,P017,2023-11-27,100,500,50000,cancelled
INV00025,U0041,P006,2023-02-21,5,500,2500,completed
INV00026,U0016,P011,2023-03-01,100,500,50000,pending
INV00027,U0002,P010,2024-02-25,100,500,50000,completed
INV00028,U0050,P002,2023-01-27,10,500,5000,completed
INV00029,U0037,P003,2024-02-05,10,500,5000,cancelled
INV00030,U0026,P007,2024-03-14,50,500,25000,completed
INV00031,U0058,P008,2016-08-27,50,500,25000,completed
INV00032,U0052,P004,2024-06-15,10,500,5000,completed
INV00033,U0059,P017,2023-11-18,1,500,500,completed
INV00034,U0043,P004,2023-07-21,2,500,1000,completed
INV00035,U0049,P017,2024-02-23,20,500,10000,completed
INV00036,U0029,P015,2024-04-16,100,500,50000,cancelled
INV00037,U0016,P006,2024-03-27,10,500,5000,completed
INV00038,U0041,P009,2024-04-09,100,500,50000,completed
INV00039,U0019,P008,2018-01-29,10,500,5000,completed
INV00040,U0035,P008,2018-01-17,5,500,2500,completed
INV00041,U0045,P003,2023-03-17,2,500,1000,completed
INV00042,U0022,P005,2023-12-05,1,500,500,completed
INV00043,U0054,P018,2024-01-08,10,500,5000,completed
INV00044,U0045,P014,2023-05-25,100,500,50000,completed
INV00045,U0031,P001,2024-05-26,100,500,50000,completed
INV00046,U0025,P001,2024-06-17,5,500,2500,completed
INV00047,U0052,P014,2023-10-25,50,500,25000,completed
INV00048,U0032,P008,2020-06-22,2,500,1000,completed
INV00049,U0052,P001,2024-01-27,5,500,2500,completed
INV00050,U0009,P013,2024-03-15,100,500,50000,completed
INV00051,U0043,P018,2023-05-28,10,500,5000,completed
INV00052,U0056,P001,2023-11-10,50,500,25000,completed
INV00053,U0021,P015,2023-08-10,1,500,500,completed
INV00054,U0057,P007,2023-06-18,5,500,2500,completed
INV00055,U0027,P013,2024-04-13,100,500,50000,pending
INV00056,U0048,P009,2024-05-14,1,500,500,completed
INV00057,U0005,P018,2023-06-10,5,500,2500,completed
INV00058,U0002,P002,2022-06-22,2,500,1000,completed
INV00059,U0008,P005,2023-12-18,2,500,1000,completed
INV00060,U0024,P007,2023-06-29,50,500,25000,completed
INV00061,U0020,P006,2023-03-24,100,500,50000,completed
INV00062,U0037,P004,2023-11-23,1,500,500,refunded
INV00063,U0038,P013,2024-05-13,50,500,25000,completed
